bce_loss: tf.Tensor(0.7652202, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.012151828, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73763055, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.01289399, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445277, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013817626, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073274, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.017050404, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073274, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.016838027, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521933, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.018277979, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376299, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.02074444, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376296, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.020918524, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445268, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.017459635, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445267, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.01274994, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652184, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009458868, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762906, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009711689, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445261, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010112874, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307315, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013994962, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073137, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013909906, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521724, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.014146103, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376284, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.016709808, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762816, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.016547997, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452513, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013589879, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445251, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008837158, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652163, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008664791, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376276, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0076835034, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445246, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0068099136, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307302, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009788838, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073006, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010990351, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652153, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010989039, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762685, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013389003, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762673, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013565111, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445236, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009425487, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445234, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006463307, shape=(), dtype=float32) 
